,Name,Link
156,Marco Brescianini,https://fbref.com//en/players/dfd56738/Marco-Brescianini
157,Lazar Samardzic,https://fbref.com//en/players/217c93a1/Lazar-Samardzic
158,Rafael Tolói,https://fbref.com//en/players/c56dc39e/Rafael-Toloi
159,Juan Musso,https://fbref.com//en/players/a111cf41/Juan-Musso
160,Juan Cuadrado,https://fbref.com//en/players/0ab1f153/Juan-Cuadrado
161,Nicolò Zaniolo,https://fbref.com//en/players/9907b1c8/Nicolo-Zaniolo
162,Marco Palestra,https://fbref.com//en/players/1f1828dd/Marco-Palestra
163,Ibrahim Sulemana,https://fbref.com//en/players/230c3f3a/Ibrahim-Sulemana
164,Vanja Vlahović,https://fbref.com//en/players/2af3f55c/Vanja-Vlahovic
165,Ben Godfrey,https://fbref.com//en/players/9f7c837d/Ben-Godfrey
166,Mitchel Bakker,https://fbref.com//en/players/a8567629/Mitchel-Bakker
167,Federico Cassa,https://fbref.com//en/players/5f209d47/Federico-Cassa
168,Giorgio Scalvini,https://fbref.com//en/players/1e9aa637/Giorgio-Scalvini
169,Alberto Manzoni,https://fbref.com//en/players/08cda374/Alberto-Manzoni
170,Lorenzo Bernasconi,https://fbref.com//en/players/c1041eb7/Lorenzo-Bernasconi
171,Pietro Comi,https://fbref.com//en/players/4f74f779/Pietro-Comi
172,Tommaso Del Lungo,https://fbref.com//en/players/e0fbd23c/Tommaso-Del-Lungo
173,Rui Patrício,https://fbref.com//en/players/79b0d6a0/Rui-Patricio
174,Lorenzo Riccio,https://fbref.com//en/players/de6f7170/Lorenzo-Riccio
175,Francesco Rossi,https://fbref.com//en/players/7b5f516f/Francesco-Rossi
176,Federico Steffanoni,https://fbref.com//en/players/c2eff1fa/Federico-Steffanoni
177,Pietro Tornaghi,https://fbref.com//en/players/a48fb754/Pietro-Tornaghi
178,Dominic Vavassori,https://fbref.com//en/players/0f0a74d0/Dominic-Vavassori
179,Federico Valverde,https://fbref.com//en/players/0959c2a2/Federico-Valverde
180,Antonio Rüdiger,https://fbref.com//en/players/18b896d6/Antonio-Rudiger
181,Kylian Mbappé,https://fbref.com//en/players/42fd9c7f/Kylian-Mbappe
182,Thibaut Courtois,https://fbref.com//en/players/1840e36d/Thibaut-Courtois
183,Vinicius Júnior,https://fbref.com//en/players/7111d552/Vinicius-Junior
184,Éder Militão,https://fbref.com//en/players/2784f898/Eder-Militao
185,Jude Bellingham,https://fbref.com//en/players/57d88cf9/Jude-Bellingham
186,Aurélien Tchouaméni,https://fbref.com//en/players/4f255115/Aurelien-Tchouameni
187,Rodrygo,https://fbref.com//en/players/8f5e92a6/Rodrygo
188,Ferland Mendy,https://fbref.com//en/players/3cefcaef/Ferland-Mendy
189,Fran Garcia,https://fbref.com//en/players/7226539b/Fran-Garcia
190,Lucas Vázquez,https://fbref.com//en/players/fd51b456/Lucas-Vazquez
191,Dani Carvajal,https://fbref.com//en/players/4958bfb2/Dani-Carvajal
192,Luka Modrić,https://fbref.com//en/players/6025fab1/Luka-Modric
193,Eduardo Camavinga,https://fbref.com//en/players/7b9c2d84/Eduardo-Camavinga
194,Arda Güler,https://fbref.com//en/players/3741ca58/Arda-Guler
195,Dani Ceballos,https://fbref.com//en/players/c0617e2b/Dani-Ceballos
196,Brahim Díaz,https://fbref.com//en/players/407feb71/Brahim-Diaz
197,Raúl Asencio,https://fbref.com//en/players/4731cd4c/Raul-Asencio
198,Andriy Lunin,https://fbref.com//en/players/3061e1ec/Andriy-Lunin
199,Endrick,https://fbref.com//en/players/a2728fbf/Endrick
