Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
Keinan Davis,15.0,0.0,0.0,142.0,44.0,0.0,0.0,0.0
Keito Nakamura,5.0,1.0,0.0,108.0,18.0,0.0,0.0,0.0
Ken Izekor,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenan Yıldız,3.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0
Kenneth Schmidt,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kenny Lala,43.0,4.0,1.0,218.0,3.0,3.0,0.0,7.0
Kenny Tete,32.0,0.0,0.0,197.0,9.0,3.0,1.0,1.0
Kevin Akpoguma,43.0,2.0,1.0,169.0,6.0,4.0,2.0,10.0
Kevin Behrens,25.0,0.0,0.0,252.0,92.0,0.0,0.0,1.0
Kevin Bonifazi,17.0,3.0,1.0,92.0,2.0,5.0,1.0,4.0
Kevin Danso,44.0,7.0,5.0,183.0,6.0,4.0,2.0,3.0
Kevin De Bruyne,39.0,2.0,0.0,306.0,21.0,0.0,0.0,5.0
Kevin Kampl,59.0,0.0,0.0,274.0,18.0,3.0,0.0,1.0
Kevin Mbabu,50.0,2.0,2.0,129.0,2.0,1.0,0.0,1.0
Kevin Paredes,6.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0
Kevin Schade,17.0,0.0,0.0,50.0,13.0,0.0,0.0,0.0
Kevin Sessa,18.0,2.0,0.0,90.0,5.0,0.0,3.0,0.0
Kevin Strootman,84.0,1.0,0.0,546.0,9.0,2.0,0.0,0.0
Kevin Stöger,59.0,1.0,0.0,350.0,6.0,0.0,0.0,5.0
Kevin Vogt,83.0,1.0,0.0,371.0,4.0,7.0,1.0,10.0
Kevin Volland,65.0,3.0,0.0,640.0,114.0,1.0,1.0,0.0
Kevin Vázquez,17.0,0.0,0.0,67.0,2.0,3.0,0.0,0.0
Khalil Fayad,3.0,1.0,0.0,40.0,1.0,0.0,0.0,0.0
Khéphren Thuram,18.0,0.0,0.0,130.0,6.0,1.0,0.0,1.0
Kiano Dyer,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieffer Moore,30.0,3.0,0.0,434.0,66.0,0.0,0.0,0.0
Kieran Tierney,14.0,0.0,0.0,80.0,2.0,1.0,0.0,1.0
Kieran Trippier,36.0,2.0,0.0,350.0,32.0,2.0,2.0,9.0
Kike Barja,15.0,0.0,0.0,101.0,21.0,0.0,0.0,0.0
Kike Pérez,24.0,0.0,0.0,175.0,8.0,0.0,0.0,0.0
Kike Salas,13.0,1.0,0.0,37.0,1.0,1.0,0.0,1.0
Kiko Femenía,51.0,2.0,2.0,198.0,18.0,2.0,0.0,2.0
Kiké,43.0,1.0,1.0,349.0,85.0,1.0,0.0,0.0
Kilian Fischer,14.0,0.0,0.0,32.0,0.0,1.0,1.0,0.0
Kiliann Sildillia,12.0,2.0,1.0,68.0,6.0,0.0,0.0,2.0
Kim Min-jae,14.0,1.0,1.0,74.0,1.0,0.0,0.0,4.0
Kingsley Coman,10.0,2.0,1.0,111.0,30.0,0.0,0.0,0.0
Kingsley Ehizibue,48.0,1.0,0.0,348.0,19.0,4.0,0.0,7.0
Kirian Rodríguez,22.0,0.0,0.0,92.0,2.0,3.0,0.0,3.0
Kjell-Arik Wätjen,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Klaus Gjasula,92.0,6.0,2.0,143.0,0.0,1.0,0.0,7.0
Ko Itakura,20.0,2.0,0.0,65.0,0.0,2.0,0.0,1.0
Kobbie Mainoo,5.0,0.0,0.0,22.0,1.0,0.0,0.0,2.0
Koffi Djidji,34.0,1.0,1.0,199.0,5.0,9.0,1.0,2.0
Koffi Kouao,21.0,1.0,0.0,110.0,7.0,3.0,0.0,1.0
Kofi Amoako,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koke,81.0,2.0,2.0,399.0,9.0,1.0,1.0,5.0
Komnen Andrić,20.0,0.0,0.0,25.0,10.0,1.0,0.0,0.0
Koni De Winter,13.0,1.0,1.0,42.0,0.0,1.0,0.0,0.0
Konrad Laimer,42.0,3.0,2.0,334.0,10.0,0.0,0.0,2.0
Konstantinos Mavropanos,34.0,2.0,1.0,127.0,4.0,5.0,2.0,7.0
Kostas Manolas,58.0,5.0,0.0,356.0,2.0,4.0,0.0,8.0
Kristian Pedersen,36.0,5.0,4.0,249.0,12.0,5.0,2.0,6.0
Kristian Sekularac,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristian Thorstvedt,25.0,1.0,0.0,175.0,2.0,0.0,0.0,0.0
Kristijan Jakić,44.0,2.0,1.0,73.0,2.0,0.0,0.0,2.0
Kristjan Asllani,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
