Name,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
Mario Gila,2.1375,12.75,8.0,4.75,2.3425000000000002,1.5475,11.575,8.100000000000001,3.4749999999999996,0.8075,0.22249999999999998
Mario González,1.4044444444444446,12.222222222222221,12.555555555555555,-0.3333333333333333,-0.9488888888888888,-1.2166666666666666,12.2625,14.149999999999999,-1.9,-0.5175000000000001,-0.50625
Mario Götze,1.9127272727272726,33.72727272727273,18.272727272727273,15.454545454545455,0.9854545454545455,0.02727272727272728,32.0125,21.85,10.15,0.55,0.09375000000000001
Mario Hermoso,1.7366666666666668,32.55555555555556,23.555555555555557,9.0,0.19111111111111112,-0.1722222222222222,30.1,23.962500000000002,6.125,0.11875,-0.21625
Mario Lemina,1.3576923076923075,21.0,22.846153846153847,-1.8461538461538463,0.048461538461538486,-0.16692307692307692,21.7375,28.85,-7.112500000000001,-0.3575,-0.35625
Mario Pašalić,1.8363636363636362,32.0,21.727272727272727,10.272727272727273,0.59,-0.026363636363636367,33.885714285714286,20.557142857142857,13.299999999999999,0.7114285714285715,-0.025714285714285696
Marious Vrousai,1.89375,12.375,11.125,1.25,0.2425,0.14875,14.774999999999999,15.675,-0.9249999999999999,-0.095,0.5225
Marius Bülter,1.2442857142857144,28.285714285714285,35.0,-6.714285714285714,-0.3085714285714286,-0.10428571428571427,29.12857142857143,31.042857142857144,-1.9,-0.13714285714285715,0.18285714285714286
Marius Mouandilmadji,1.29,14.166666666666666,20.166666666666668,-6.0,1.01,1.1766666666666667,9.225000000000001,17.2,-8.0,1.6075,1.8325
Marius Wolf,1.4208333333333334,21.583333333333332,20.916666666666668,0.6666666666666666,-0.09916666666666667,-0.10583333333333333,24.95,23.4,1.5875000000000001,0.14999999999999997,-0.0625
Mark McKenzie,1.9716666666666667,25.0,15.666666666666666,9.333333333333334,0.30666666666666664,-0.29000000000000004,24.133333333333336,15.966666666666667,8.200000000000001,0.3566666666666667,-0.6883333333333334
Mark O'Mahony,1.19,10.25,10.75,-0.5,-0.4775,-0.3,3.15,4.35,-1.25,-0.455,-0.175
Marko Arnautović,1.5033333333333332,26.0,29.555555555555557,-3.5555555555555554,0.006666666666666648,-0.15,21.866666666666664,23.433333333333334,-1.55,0.3033333333333333,0.2783333333333333
Marko Grujić,2.316923076923077,20.692307692307693,10.692307692307692,10.0,1.0776923076923077,0.1623076923076923,17.900000000000002,12.7625,5.15,0.89125,0.09000000000000002
Marko Ivezić,1.254,22.2,23.8,-1.6,-0.294,0.332,21.0,22.85,-1.85,-0.3,-0.115
Marnon Busch,1.2145454545454546,26.454545454545453,25.818181818181817,0.6363636363636364,-0.3709090909090909,-0.18636363636363634,29.9875,27.75,2.2125,-0.09125,0.20625
Marquinhos,2.338181818181818,55.90909090909091,17.454545454545453,38.45454545454545,1.7054545454545453,0.11818181818181818,51.0375,22.4,28.625,1.35875,0.31125
Marshall Munetsi,1.3716666666666668,24.666666666666668,25.333333333333332,-0.6666666666666666,0.03166666666666667,0.15000000000000002,23.816666666666666,27.766666666666666,-3.966666666666667,-0.23666666666666666,-0.36999999999999994
Marten de Roon,1.5374999999999999,47.333333333333336,32.583333333333336,14.75,0.4216666666666667,-0.019999999999999987,51.55,30.975,20.575,0.7275,-0.048571428571428585
Martim Neto,1.72,9.666666666666666,13.333333333333334,-3.6666666666666665,-0.34,-0.4566666666666666,10.1,12.433333333333332,-2.3000000000000003,0.12666666666666668,0.056666666666666664
Martin Adeline,1.175,7.333333333333333,7.666666666666667,-0.3333333333333333,-0.94,-0.7266666666666667,6.933333333333334,6.916666666666667,-0.0333333333333334,-0.6749999999999999,-0.5383333333333333
Martin Erlic,1.1933333333333334,26.0,31.333333333333332,-5.333333333333333,-0.245,0.5266666666666667,25.683333333333334,29.96666666666667,-4.3,-0.05666666666666664,0.2583333333333333
Martin Frese,1.27875,17.625,15.125,2.5,-0.315,-0.25125000000000003,3.9,5.2,-1.3,-0.35,0.61
Martin Koscelník,1.23875,16.625,17.0,-0.375,-0.475,-0.6825,1.6,2.8,-1.3,-1.07,-0.77
Martin Satriano,1.6760000000000002,13.4,11.6,1.8,0.99,0.728,12.56,13.440000000000001,-0.9200000000000002,0.438,0.28400000000000003
Martin Terrier,1.6055555555555554,27.88888888888889,18.77777777777778,9.11111111111111,0.5255555555555556,0.30333333333333334,27.8,21.425,6.4125,0.41375,0.01750000000000001
Martin Valjent,1.252,31.9,37.8,-5.9,-0.195,0.063,32.58571428571428,34.25714285714285,-1.6857142857142857,-0.06142857142857143,0.16428571428571428
Martin Ødegaard,1.835,35.333333333333336,21.916666666666668,13.416666666666666,1.0033333333333332,0.5816666666666667,38.4375,23.474999999999998,14.950000000000001,0.68625,0.39125
Martín Payero,1.5075,10.5,11.5,-1.0,-0.022499999999999992,0.3625,13.299999999999999,14.033333333333333,-0.7999999999999999,-0.010000000000000009,0.10333333333333333
Martín Zubimendi,1.7014285714285715,24.285714285714285,20.285714285714285,4.0,-1.6614285714285713,-2.1185714285714288,26.2,20.057142857142857,6.185714285714285,1.1185714285714285,0.7914285714285715
Marvin,1.6,9.75,10.0,-0.25,0.48,0.2625,9.25,11.575,-2.325,0.11250000000000002,0.2825
Marvin Ducksch,1.2508333333333332,28.333333333333332,26.583333333333332,1.75,-0.13333333333333333,-0.21166666666666667,32.98888888888889,30.15555555555555,2.8111111111111113,0.01333333333333332,-0.04111111111111111
Marvin Friedrich,1.4909090909090907,23.09090909090909,22.818181818181817,0.2727272727272727,-0.011818181818181828,-0.10444444444444441,27.799999999999997,26.844444444444445,0.9444444444444444,0.10444444444444445,-0.027142857142857135
Marvin Peersman,1.308888888888889,34.666666666666664,32.666666666666664,2.0,-0.008888888888888911,1.1722222222222223,11.1,12.2,-1.1,-0.1,2.46
Marvin Pieringer,1.334,24.0,19.6,4.4,0.348,1.0100000000000002,21.92,20.619999999999997,1.3199999999999996,0.168,0.42800000000000005
Marvin Schulz,1.3444444444444443,27.444444444444443,28.11111111111111,-0.6666666666666666,-0.3011111111111111,-0.12666666666666668,18.3,17.233333333333334,1.0333333333333334,-0.2566666666666667,-0.16
Marvin Senaya,1.338,16.0,17.0,-1.0,-0.34800000000000003,-0.04799999999999995,15.5,17.240000000000002,-1.7600000000000002,-0.534,-0.31399999999999995
Mason Greenwood,1.61875,21.375,15.625,5.75,0.4875,-0.12625000000000003,23.066666666666666,19.266666666666666,3.783333333333333,0.305,0.6083333333333333
Mason Holgate,1.3679999999999999,15.133333333333333,16.733333333333334,-1.6,-1.12,-1.1540000000000001,14.118181818181819,16.336363636363636,-2.1818181818181817,-0.3372727272727273,-0.2627272727272727
Mason Mount,1.5033333333333332,35.77777777777778,26.11111111111111,9.666666666666666,0.03222222222222223,-0.1622222222222222,33.3,22.685714285714287,10.628571428571428,0.2285714285714286,0.04571428571428571
Massadio Haïdara,1.97,15.083333333333334,11.666666666666666,3.4166666666666665,0.62,0.5649999999999998,20.0875,17.0125,3.0999999999999996,-0.045000000000000005,-0.30374999999999996
Massimo Luongo,1.4349999999999998,32.5,28.25,4.25,0.13416666666666666,0.1658333333333333,27.080000000000002,25.560000000000002,1.52,-0.496,-0.348
Matchoi Djaló,0.628,3.4,9.2,-5.8,-1.096,-0.8699999999999999,6.050000000000001,9.625,-3.575,-0.48250000000000004,-0.03499999999999999
Mateo Kovačić,1.95,33.09090909090909,21.363636363636363,11.727272727272727,0.75,-0.27909090909090906,28.975,18.1125,10.8625,0.65625,-0.10875
Mateo Retegui,1.755,31.5,21.0,10.5,0.9650000000000001,0.7849999999999999,20.15,18.65,1.5,0.345,-0.13
Mateu Morey,2.0033333333333334,6.166666666666667,6.666666666666667,-0.5,-0.07166666666666666,-0.6116666666666667,6.425000000000001,6.025,0.37499999999999994,-0.1975,-0.6675
Mateus Fernandes,1.886,10.0,11.4,-1.4,-1.032,-1.3119999999999998,8.98,12.16,-3.2,0.576,0.11799999999999997
Mateusz Wieteska,1.4616666666666667,23.083333333333332,19.416666666666668,3.6666666666666665,0.012499999999999964,-0.23750000000000002,14.0,19.525,-5.5,-0.7025,-0.4575
Matheus Cunha,1.262,18.3,17.8,0.5,0.05400000000000001,0.22400000000000003,16.0,17.0,-1.04,0.11800000000000002,0.24100000000000002
Matheus Nunes,1.8087499999999999,18.875,13.125,5.75,0.4025000000000001,-0.47875,18.275,12.7125,5.5375,0.5125000000000001,-0.19624999999999998
Matheus Pereira,1.4133333333333333,13.666666666666666,20.333333333333332,-6.666666666666667,0.11000000000000003,0.3166666666666667,14.933333333333335,16.266666666666666,-1.3000000000000003,0.20333333333333337,0.08666666666666666
Matheus Reis,2.075,29.5,17.25,12.25,0.73625,-0.5962500000000001,32.642857142857146,17.214285714285715,15.442857142857141,0.9414285714285714,-0.15
Mathias Honsak,1.303,17.5,19.8,-2.3,-0.312,-0.167,19.74285714285714,20.87142857142857,-1.1571428571428573,-0.21000000000000002,-0.19
Mathias Jensen,1.3372727272727274,29.09090909090909,23.454545454545453,5.636363636363637,0.5690909090909092,0.5536363636363636,29.942857142857143,23.614285714285717,6.314285714285714,0.1157142857142857,-0.13285714285714287
Mathias Kjølø,1.6528571428571428,23.714285714285715,23.0,0.7142857142857143,-0.03714285714285714,-0.6,14.725000000000001,11.0,3.75,1.0,-0.08250000000000002
Mathias Pereira Lage,1.2890000000000001,20.5,19.7,0.8,0.06800000000000002,0.10900000000000001,21.8,19.925,1.8625,0.010000000000000002,0.07125000000000001
Mathieu Cafaro,1.483,15.4,14.2,1.2,-0.16899999999999998,-0.047,15.966666666666665,17.31111111111111,-1.3333333333333335,-0.758888888888889,-0.6422222222222221
Mathis Suray,1.17,28.4,37.2,-8.8,-1.1320000000000001,-0.0379999999999999,3.4,4.4,-1.1,-0.36,-1.29
Mathías Olivera,1.691111111111111,18.88888888888889,14.555555555555555,4.333333333333333,0.41,0.25222222222222224,18.944444444444443,17.11111111111111,1.8333333333333333,0.08555555555555555,-0.07222222222222223
Matija Nastasić,1.2645454545454546,16.0,21.363636363636363,-5.363636363636363,-0.5790909090909092,-0.3527272727272727,16.425,23.6625,-7.2125,-0.6675,-0.62625
Matisse Didden,2.1325,20.0,16.5,3.5,0.19000000000000003,-0.42,1.8,1.25,0.55,0.295,0.030000000000000027
Mats Deijl,1.3788888888888888,34.0,33.77777777777778,0.2222222222222222,-0.07555555555555554,0.02499999999999998,34.225,38.55,-4.300000000000001,-0.07249999999999998,0.009999999999999972
Mats Hummels,1.9027272727272726,49.63636363636363,23.09090909090909,26.545454545454547,1.0745454545454545,-0.08636363636363638,41.75,24.7875,16.9625,0.70125,-0.04875
Mats Köhlert,1.2625,26.5,33.0,-6.5,-0.09625,0.71,26.32857142857143,30.37142857142857,-4.042857142857143,0.12714285714285714,0.9357142857142857
Mats Pannewig,1.365,10.0,6.75,3.25,0.07999999999999996,-0.7575,0.9,2.5,-1.6,-1.39,-0.26
Mats Wieffer,2.09,40.0,23.333333333333332,16.666666666666668,0.57,-0.4483333333333334,38.733333333333334,15.233333333333334,23.53333333333333,0.7233333333333333,-0.5499999999999999
Matt Doherty,1.6933333333333334,31.083333333333332,25.166666666666668,5.916666666666667,0.5033333333333333,0.44333333333333336,20.2,16.275000000000002,3.9749999999999996,0.2725,0.2475
Matt Garbett,1.042,12.4,14.8,-2.4,-0.6699999999999999,-0.426,5.2,8.1,-2.9,-0.47,-0.18
Matt O'Riley,1.8581818181818184,30.454545454545453,15.909090909090908,14.545454545454545,0.8672727272727272,0.09545454545454546,2.3000000000000003,2.5,-0.25,-0.835,-0.815
Matt Targett,1.3,14.4,13.866666666666667,0.5333333333333333,-0.11933333333333333,0.6253333333333333,18.2875,21.525,-3.225,-0.335,0.215
Matteo Cancellieri,1.0225,9.0,12.0,-3.0,-0.13,-0.185,9.75,11.075,-1.35,-0.025000000000000022,0.10999999999999999
Matteo Dams,1.718,18.2,15.4,2.8,0.246,-0.06800000000000002,24.6,6.9,17.7,1.75,0.53
Matteo Darmian,1.8491666666666668,25.083333333333332,16.25,8.833333333333334,0.3441666666666667,-0.4141666666666666,22.88888888888889,16.38888888888889,6.522222222222222,0.24222222222222223,-0.4122222222222222
Matteo Gabbia,1.9057142857142857,15.142857142857142,9.571428571428571,5.571428571428571,0.6842857142857143,0.20428571428571432,13.714285714285714,8.757142857142856,4.957142857142857,0.6142857142857142,0.18857142857142858
Matteo Pessina,1.5175,30.25,27.75,2.5,0.2225,0.41250000000000003,26.457142857142856,26.314285714285713,0.1428571428571431,0.13000000000000003,0.1742857142857143
Matteo Politano,1.805,28.833333333333332,22.583333333333332,6.25,0.41333333333333333,-0.2041666666666667,27.344444444444445,18.700000000000003,8.655555555555555,0.5244444444444444,-0.18666666666666665
Matteo Prati,0.7433333333333333,14.0,24.666666666666668,-10.666666666666666,-0.8766666666666666,-0.5533333333333333,16.033333333333335,19.76666666666667,-3.766666666666667,-0.26666666666666666,0.01
Matteo Ruggeri,1.582,22.0,15.4,6.6,0.21800000000000003,-0.472,17.28,12.76,4.54,0.20599999999999996,-0.358
Matthias Braunöder,1.6283333333333332,17.333333333333332,16.166666666666668,1.1666666666666667,-0.3183333333333334,-0.305,8.15,6.5,1.6500000000000001,-0.14,-0.35000000000000003
Matthias Ginter,1.6716666666666666,38.5,32.583333333333336,5.916666666666667,0.1416666666666667,-0.30444444444444446,43.275,38.6,4.675,0.195,-0.10200000000000001
Matthijs de Ligt,2.088,53.7,23.7,30.0,1.291,0.5760000000000001,49.84285714285714,26.142857142857142,23.685714285714287,0.91,0.12142857142857144
