,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1861,Pedro Chirivella,27.0,Right,178.0,66.0,Nantes,Ligue 1,1,0,1,0
1862,Pedro Neto,24.0,Left,173.0,62.0,Chelsea,Premier League,1,1,1,0
1863,Pedro Obiang,32.0,Right,185.0,74.0,Sassuolo,Serie B,2,0,1,0
1864,Pedro Pereira,26.0,Right,174.0,69.0,Monza,Serie A,1,0,1,1
1865,Pedro Porro,24.0,Right,176.0,68.0,Tottenham Hotspur,Premier League,1,0,1,1
1866,Pelly Ruddock Mpanzu,31.0,Right,175.0,63.0,Luton Town,Championship,2,0,1,1
1867,Pep Chavarría,26.0,Left,174.0,72.0,Rayo Vallecano,La Liga,1,0,1,1
1868,Pepín,28.0,,184.0,76.0,Frosinone,Serie B,2,0,1,0
1869,Perr Schuurs,24.0,Right,191.0,87.0,Torino,Serie A,1,0,0,1
1870,Peru Nolaskoain,25.0,Right,185.0,76.0,Eibar,La Liga 2,2,0,1,1
1871,Pervis Estupiñán,26.0,Left,175.0,78.0,Brighton,Premier League,1,0,1,1
1872,Petar Stojanović,28.0,Right,178.0,68.0,Salernitana,Serie B,2,0,1,1
1873,Phil Foden,24.0,Left,169.0,69.0,Manchester City,Premier League,1,1,1,0
1874,Philip Billing,28.0,Left,192.0,79.0,Bournemouth,Premier League,1,0,1,0
1875,Philipp Förster,,Left,188.0,82.0,Bochum,Bundesliga,1,1,1,0
1876,Philipp Hofmann,31.0,Right,194.0,68.0,Bochum,Bundesliga,1,1,0,0
1877,Philipp Max,30.0,Left,178.0,74.0,Panathinaikos,Super League,1,0,1,1
1878,Philippe Coutinho,32.0,Right,172.0,68.0,Vasco da Gama,Série A,1,1,1,0
1879,Phillip Tietz,27.0,Right,190.0,71.0,Augsburg,Bundesliga,1,1,0,0
1880,Phillipp Mwene,30.0,Right,170.0,68.0,Mainz 05,Bundesliga,1,0,1,1
1881,Piero Hincapié,22.0,Left,182.0,64.0,Leverkusen,Bundesliga,1,0,0,1
1882,Pierre Højbjerg,29.0,Right,185.0,81.0,Marseille,Ligue 1,1,0,1,0
1883,Pierre Kalulu,24.0,Right,179.0,68.0,Juventus,Serie A,1,0,0,1
1884,Pierre Lees-Melou,31.0,Right,185.0,67.0,Brest,Ligue 1,1,0,1,0
1885,Pierre-Emerick Aubameyang,35.0,Right,187.0,79.0,Al-Qadsiah,Saudi Professional League,1,1,1,0
1886,Pietro Pellegri,23.0,Right,196.0,78.0,Empoli,Serie A,1,1,0,0
1887,Piotr Zieliński,30.0,Right,180.0,74.0,Napoli,Serie A,1,0,1,0
1888,Pol Lirola,27.0,Right,183.0,78.0,Marseille,Ligue 1,1,0,1,1
1889,Pontus Almqvist,25.0,Left,178.0,67.0,Parma,Serie A,1,1,1,0
1890,Portu,32.0,Right,178.0,69.0,Girona,La Liga,1,1,1,0
1891,Przemysław Frankowski,29.0,Right,175.0,68.0,Lens,Ligue 1,1,1,1,1
1892,Przemysław Szymiński,30.0,Right,184.0,71.0,Reggiana,Serie B,2,0,0,1
1893,Pubill,21.0,Right,,,Almería,La Liga 2,2,0,0,1
1894,Quentin Merlin,22.0,Left,173.0,68.0,Marseille,Ligue 1,1,0,1,1
1895,Radamel Falcao,38.0,Right,177.0,73.0,Millonarios,Primera A,1,1,0,0
1896,Rade Krunić,30.0,Right,184.0,73.0,Fenerbahçe,Süper Lig,1,0,1,0
1897,Radu Drăgușin,22.0,Right,191.0,79.0,Tottenham Hotspur,Premier League,1,0,0,1
1898,Rafa Marín,22.0,,191.0,73.0,Alavés,La Liga,1,0,0,1
1899,Rafa Mir,27.0,Right,189.0,74.0,Valencia,La Liga,1,1,0,0
1900,Rafael Borré,28.0,Right,179.0,69.0,Internacional,Série A,1,1,0,0
1901,Rafael Leão,25.0,Right,189.0,78.0,Milan,Serie A,1,1,1,0
1902,Rafael Tolói,33.0,Right,185.0,74.0,Atalanta,Serie A,1,0,0,1
1903,Ramy Bensebaini,29.0,Left,188.0,74.0,Dortmund,Bundesliga,1,0,1,1
1904,Ramón Terrats,23.0,,181.0,68.0,Villarreal,La Liga,1,0,1,0
1905,Randal Kolo Muani,25.0,Right,187.0,73.0,Paris S-G,Ligue 1,1,1,1,0
1906,Randy Ntekja,26.0,Left,189.0,74.0,Rayo Vallecano,La Liga,1,1,1,0
1907,Rani Khedira,30.0,Right,185.0,78.0,Union Berlin,Bundesliga,1,0,1,1
1908,Raoul Bellanova,24.0,Right,185.0,83.0,Atalanta,Serie A,1,0,1,1
1909,Raphaël Guerreiro,30.0,Left,170.0,67.0,Bayern Munich,Bundesliga,1,0,1,1
1910,Raphaël Varane,31.0,Both,194.0,83.0,Manchester Utd,Premier League,1,0,1,1
1911,Raphinha,27.0,Left,176.0,78.0,Barcelona,La Liga,1,1,1,0
1912,Rasmus Carstensen,23.0,,187.0,76.0,Köln,Bundesliga,1,0,0,1
1913,Rasmus Højlund,21.0,,192.0,,Manchester Utd,Premier League,1,1,0,0
1914,Rasmus Kristensen,27.0,Right,176.0,69.0,Eint Frankfurt,Bundesliga,1,0,1,1
1915,Rasmus Nicolaisen,27.0,Left,190.0,81.0,Toulouse,Ligue 1,1,0,0,1
1916,Rassoul Ndiaye,22.0,,179.0,69.0,Le Havre,Ligue 1,1,0,1,0
1917,Raul Paula,20.0,,,,NAC Breda,Eredivisie,1,0,1,0
1918,Rayan Aït-Nouri,23.0,Left,179.0,69.0,Wolves,Premier League,1,0,1,1
1919,Rayan Cherki,21.0,Both,176.0,69.0,Lyon,Ligue 1,1,1,1,0
1920,Raúl,23.0,,,,Osasuna,La Liga,1,1,0,0
1921,Raúl Albiol,39.0,Right,190.0,82.0,Villarreal,La Liga,1,0,0,1
1922,Raúl García,,Right,184.0,81.0,Athletic Club,La Liga,1,1,1,0
1923,Raúl Jiménez,33.0,Right,188.0,79.0,Fulham,Premier League,1,1,0,0
1924,Raúl Torrente,23.0,Left,193.0,78.0,Dinamo Zagreb,HNL,1,0,0,1
1925,Raúl de Tomás,29.0,Right,180.0,72.0,Rayo Vallecano,La Liga,1,1,0,0
1926,Reda Khadra,23.0,Right,174.0,68.0,Reims,Ligue 1,1,1,1,0
1927,Reece Burke,28.0,Right,188.0,81.0,Luton Town,Championship,2,0,0,1
1928,Reece James,24.0,Right,172.0,63.0,Chelsea,Premier League,1,0,1,1
1929,Reinier,22.0,Right,185.0,74.0,Granada,La Liga 2,2,0,1,0
1930,Reinildo Mandava,30.0,Left,180.0,73.0,Atlético Madrid,La Liga,1,0,0,1
1931,Reiss Nelson,24.0,Right,175.0,68.0,Arsenal,Premier League,1,1,1,0
1932,Remi Oudin,27.0,Left,185.0,78.0,Lecce,Serie A,1,1,1,0
1933,Remo Freuler,32.0,Right,180.0,79.0,Bologna,Serie A,1,0,1,0
1934,Renan Lodi,26.0,Left,179.0,71.0,Al-Hilal,Saudi Professional League,1,0,1,1
1935,Renato Sanches,27.0,Right,176.0,74.0,Benfica,Primeira Liga,1,0,1,0
1936,Renato Tapia,29.0,Right,185.0,78.0,Leganés,La Liga,1,0,1,1
1937,Reno Münz,18.0,,,,Greuther Fürth,2,2,0,0,1
1938,Reuell Walters,19.0,,183.0,,Luton Town,Championship,2,0,0,1
1939,Rhian Brewster,24.0,Right,177.0,73.0,Sheffield Utd,Championship,2,1,0,0
1940,Rhys Bennett,20.0,,,,Fleetwood Town,League Two,4,0,0,1
1941,Rhys Norrington-Davies,25.0,Left,170.0,62.0,Sheffield Utd,Premier League,1,0,1,1
1942,Ricard Sánchez,24.0,Right,175.0,66.0,Granada,La Liga 2,2,0,0,1
1943,Ricardo Rodríguez,32.0,Left,180.0,78.0,Betis,La Liga,1,0,1,1
1944,Riccardo Calafiori,22.0,Left,183.0,74.0,Arsenal,Premier League,1,0,0,1
1945,Riccardo Marchizza,26.0,Left,187.0,79.0,Frosinone,Serie B,2,0,0,1
1946,Riccardo Orsolini,27.0,Left,183.0,73.0,Bologna,Serie A,1,1,1,0
1947,Riccardo Saponara,32.0,Right,184.0,73.0,Ankaragücü,Süper Lig,1,1,1,0
1948,Riccardo Sottil,25.0,Right,180.0,73.0,Fiorentina,Serie A,1,1,1,0
1949,Rick Karsdorp,,Right,184.0,79.0,Roma,Serie A,1,0,1,1
1950,Rico Henry,27.0,Left,170.0,68.0,Brentford,Premier League,1,0,1,1
1951,Rico Lewis,19.0,Right,170.0,64.0,Manchester City,Premier League,1,0,0,1
1952,Ridgeciano Haps,31.0,Left,175.0,66.0,Venezia,Serie A,1,0,1,1
1953,Ridle Baku,26.0,Right,176.0,68.0,Wolfsburg,Bundesliga,1,1,1,1
1954,Ritsu Doan,26.0,Left,172.0,69.0,Freiburg,Bundesliga,1,1,1,0
1955,Rob Holding,28.0,Right,183.0,74.0,Arsenal,Premier League,1,0,0,1
1956,Robert Andrich,29.0,Right,185.0,78.0,Leverkusen,Bundesliga,1,0,1,0
1957,Robert Gumny,26.0,Right,177.0,60.0,Augsburg,Bundesliga,1,0,0,1
1958,Robert Lewandowski,36.0,Right,185.0,78.0,Barcelona,La Liga,1,1,0,0
1959,Robert Skov,28.0,Left,183.0,78.0,Hoffenheim,Bundesliga,1,1,1,1
1960,Roberto Gagliardini,30.0,Right,188.0,77.0,Monza,Serie A,1,0,1,0
1961,Roberto Massimo,23.0,Right,184.0,74.0,Greuther Fürth,2,2,1,1,1
1962,Roberto Navarro,22.0,Right,178.0,59.0,Mallorca,La Liga,1,0,1,0
1963,Roberto Pereyra,33.0,Right,182.0,73.0,AEK Athens,Super League,1,1,1,1
1964,Roberto Piccoli,23.0,Right,190.0,83.0,Cagliari,Serie A,1,1,0,0
1965,Robin Gosens,30.0,Left,181.0,76.0,Fiorentina,Serie A,1,0,1,1
1966,Robin Hack,26.0,Right,176.0,68.0,Gladbach,Bundesliga,1,1,1,0
1967,Robin Knoche,32.0,Right,190.0,77.0,Nürnberg,2,2,0,0,1
1968,Robin Koch,28.0,Right,192.0,82.0,Eint Frankfurt,Bundesliga,1,0,1,1
1969,Robin Le Normand,27.0,Right,187.0,83.0,Atlético Madrid,La Liga,1,0,0,1
1970,Robson Bambu,26.0,Right,184.0,64.0,Braga,Primeira Liga,1,0,0,1
1971,Rocco Reitz,22.0,Both,165.0,63.0,Gladbach,Bundesliga,1,0,1,0
1972,Rodri,28.0,Right,190.0,78.0,Manchester City,Premier League,1,0,1,1
1973,Rodrigo Bentancur,27.0,Right,185.0,73.0,Tottenham Hotspur,Premier League,1,0,1,0
1974,Rodrigo De Paul,30.0,Right,178.0,69.0,Atlético Madrid,La Liga,1,1,1,0
1975,Rodrigo Muniz,23.0,Right,178.0,67.0,Fulham,Premier League,1,1,0,0
1976,Rodrigo Riquelme,24.0,Right,174.0,64.0,Atlético Madrid,La Liga,1,0,1,0
1977,Rodrygo,23.0,Right,174.0,68.0,Real Madrid,La Liga,1,1,1,0
1978,Roger Martí,33.0,Right,179.0,73.0,Cádiz,La Liga 2,2,1,0,0
1979,Rogério,26.0,Left,178.0,71.0,Wolfsburg,Bundesliga,1,0,1,1
1980,Roland Sallai,27.0,Right,183.0,77.0,Freiburg,Bundesliga,1,1,1,0
1981,Rolando Mandragora,27.0,Left,183.0,76.0,Fiorentina,Serie A,1,0,1,0
1982,Romain Del Castillo,28.0,Left,172.0,55.0,Brest,Ligue 1,1,1,1,0
1983,Romain Faivre,26.0,Left,180.0,68.0,Brest,Ligue 1,1,1,1,0
1984,Romain Perraud,26.0,Left,173.0,68.0,Betis,La Liga,1,0,0,1
1985,Roman Yaremchuk,28.0,Right,186.0,78.0,Olympiacos,Super League,1,1,1,0
1986,Romano Schmid,24.0,Right,174.0,64.0,Werder Bremen,Bundesliga,1,0,1,0
1987,Romelu Lukaku,31.0,Left,192.0,91.0,Napoli,Serie A,1,1,0,0
1988,Rominigue Kouamé,27.0,Left,177.0,68.0,Cádiz,La Liga,1,0,1,0
1989,Roméo Lavia,20.0,Right,181.0,69.0,Chelsea,Premier League,1,0,1,0
1990,Ronald Araújo,25.0,Right,188.0,78.0,Barcelona,La Liga,1,0,0,1
1991,Ronaël Pierre-Gabriel,26.0,Right,177.0,76.0,Dinamo Zagreb,HNL,1,0,0,1
1992,Ronnie Stutter,19.0,,,,Chelsea,PL2,6,1,0,0
1993,Roshaun Mathurin,20.0,,,,Hartlepool Utd,National League,5,1,0,0
1994,Ross Barkley,30.0,Right,189.0,83.0,Aston Villa,Premier League,1,0,1,0
1995,Ruan,25.0,Right,187.0,73.0,Sassuolo,Serie A,1,0,0,1
1996,Ruben Aguilar,31.0,Right,172.0,69.0,Lens,Ligue 1,1,0,1,1
1997,Ruben Loftus-Cheek,28.0,Right,191.0,83.0,Milan,Serie A,1,0,1,0
1998,Ruben Vargas,26.0,Right,174.0,68.0,Augsburg,Bundesliga,1,1,1,0
1999,Rubén Alcaraz,33.0,Right,183.0,79.0,Cádiz,La Liga 2,2,0,1,0
2000,Rubén Duarte,28.0,Left,172.0,68.0,UNAM,Liga MX,1,0,0,1
2001,Rubén García,31.0,Left,171.0,72.0,Osasuna,La Liga,1,1,1,0
2002,Rubén Peña,33.0,Right,170.0,64.0,Osasuna,La Liga,1,0,1,1
2003,Rubén Sobrino,32.0,Right,185.0,72.0,Cádiz,La Liga 2,2,1,1,0
2004,Ruslan Malinovskyi,31.0,Left,181.0,78.0,Genoa,Serie A,1,1,1,0
2005,Ryan Gravenberch,22.0,Right,190.0,78.0,Liverpool,Premier League,1,0,1,0
2006,Ryan Johansson,23.0,Both,180.0,,Wehen,3,3,0,1,0
2007,Ryan John Giles,24.0,Left,183.0,72.0,Hull City,Championship,2,0,1,1
2008,Ryan Trevitt,21.0,,170.0,64.0,Exeter City,League One,3,0,1,0
2009,Ryan Yates,26.0,Right,190.0,77.0,Nott'ham Forest,Premier League,1,0,1,0
2010,Rémy Cabella,34.0,Right,171.0,66.0,Lille,Ligue 1,1,1,1,0
2011,Rúben Dias,27.0,Right,186.0,82.0,Manchester City,Premier League,1,0,1,1
2012,Rúben Vinagre,25.0,Left,173.0,69.0,Legia Warsaw,Ekstraklasa,1,0,1,1
2013,Răzvan Marin,28.0,Right,177.0,69.0,Cagliari,Serie A,1,0,1,0
2014,Saba Sazonov,22.0,Right,192.0,82.0,Torino,Serie A,1,0,0,1
2015,Sacha Boey,23.0,Right,166.0,50.0,Bayern Munich,Bundesliga,1,0,0,1
2016,Sael Kumbedi,19.0,,175.0,63.0,Lyon,Ligue 1,1,0,0,1
2017,Saidou Sow,22.0,Right,184.0,72.0,Strasbourg,Ligue 1,1,0,0,1
2018,Salih Özcan,26.0,Right,180.0,73.0,Wolfsburg,Bundesliga,1,0,1,0
2019,Salis Abdul Samed,24.0,Right,180.0,60.0,Lens,Ligue 1,1,0,1,0
2020,Salvi,33.0,Right,170.0,66.0,Espanyol,La Liga 2,2,1,1,0
2021,Sam Beukema,25.0,,,,Bologna,Serie A,1,0,0,1
2022,Saman Ghoddos,31.0,Right,176.0,74.0,Brentford,Premier League,1,1,1,0
2023,Samu Castillejo,,Left,179.0,60.0,Sassuolo,Serie A,1,1,1,0
2024,Samu Costa,23.0,Left,183.0,74.0,Mallorca,La Liga,1,0,1,0
2025,Samuel Bamba,20.0,,,,Bochum,Bundesliga,1,1,0,0
2026,Samuel Chukwueze,25.0,Left,172.0,69.0,Milan,Serie A,1,1,1,0
2027,Samuel Gigot,30.0,Right,187.0,83.0,Marseille,Ligue 1,1,0,1,1
2028,Samuel Grandsir,28.0,Right,180.0,69.0,Le Havre,Ligue 1,1,1,1,0
2029,Samuel Iling-Junior,20.0,,182.0,71.0,Juventus,Serie A,1,0,1,0
2030,Samuel Lino,24.0,Right,178.0,72.0,Atlético Madrid,La Liga,1,1,1,1
2031,Samuel Moutoussamy,28.0,Left,174.0,60.0,Sivasspor,Süper Lig,1,0,1,0
2032,Samuel Umtiti,30.0,Left,181.0,74.0,Lille,Ligue 1,1,0,0,1
2033,Samuele Birindelli,25.0,Right,176.0,68.0,Monza,Serie A,1,0,1,1
2034,Samuele Di Benedetto,19.0,,,,Stuttgart II,3,3,0,1,0
2035,Samuele Mulattieri,23.0,,,,Sassuolo,Serie B,2,1,0,0
2036,Samuele Ricci,23.0,Right,186.0,58.0,Torino,Serie A,1,0,1,0
2037,Samy Chouchane,21.0,Right,,,Northampton,League One,3,0,1,0
2038,Sander Berge,26.0,Right,190.0,87.0,Fulham,Premier League,1,0,1,0
2039,Sandi Lovrić,26.0,Right,180.0,68.0,Udinese,Serie A,1,0,1,0
2040,Sandro Ramírez,29.0,Right,175.0,71.0,Las Palmas,La Liga,1,1,1,0
2041,Sandro Tonali,24.0,Right,181.0,78.0,Newcastle Utd,Premier League,1,0,1,0
2042,Santi Comesaña,27.0,Right,184.0,74.0,Villarreal,La Liga,1,0,1,0
2043,Santiago Bueno,25.0,Right,190.0,78.0,Wolves,Premier League,1,0,0,1
2044,Santiago Castro,19.0,,,,Bologna,Serie A,1,1,0,0
2045,Santiago Pierotti,23.0,,,,Lecce,Serie A,1,1,1,0
2046,Sardar Azmoun,29.0,Right,183.0,78.0,Roma,Serie A,1,1,1,0
2047,Sargis Adamyan,31.0,Right,184.0,76.0,Köln,2,2,1,1,0
2048,Sasa Kalajdzic,27.0,Right,200.0,79.0,Eint Frankfurt,Bundesliga,1,1,1,0
2049,Saïd Benrahma,29.0,Right,172.0,67.0,Lyon,Ligue 1,1,1,1,0
2050,Saúl Coco,25.0,,,,Torino,Serie A,1,0,0,1
2051,Saúl Ñíguez,29.0,Left,181.0,69.0,Sevilla,La Liga,1,0,1,1
2052,Saša Lukić,28.0,Right,183.0,73.0,Fulham,Premier League,1,0,1,0
2053,Scott McKenna,27.0,Left,189.0,78.0,Las Palmas,La Liga,1,0,0,1
2054,Scott McTominay,27.0,Right,192.0,84.0,Manchester Utd,Premier League,1,0,1,0
2055,Sean Longstaff,26.0,Right,181.0,77.0,Newcastle Utd,Premier League,1,0,1,0
2056,Sebastiaan Bornauw,25.0,Right,191.0,81.0,Wolfsburg,Bundesliga,1,0,0,1
2057,Sebastian Polter,33.0,Right,191.0,83.0,Braunschweig,2,2,1,0,0
2058,Sebastian Rode,,Right,179.0,73.0,Eint Frankfurt,Bundesliga,1,0,1,0
2059,Sebastian Walukiewicz,24.0,Right,188.0,82.0,Torino,Serie A,1,0,0,1
2060,Sebastiano Luperto,28.0,Left,191.0,74.0,Cagliari,Serie A,1,0,0,1
2061,Seedy Jarju,19.0,,,,Heidenheim U19,U19 Bundesliga,6,0,0,1
2062,Selim Amallah,27.0,Right,186.0,78.0,Valladolid,La Liga,1,1,1,0
2063,Senne Lynen,25.0,Right,,,Werder Bremen,Bundesliga,1,0,1,0
2064,Sepp van den Berg,22.0,Right,189.0,79.0,Brentford,Premier League,1,0,1,1
2065,Serge Aurier,,Right,176.0,76.0,Galatasaray,Süper Lig,1,0,1,1
2066,Serge Gnabry,29.0,Right,173.0,73.0,Bayern Munich,Bundesliga,1,1,1,0
2067,Sergi Canós,27.0,Right,175.0,69.0,Valencia,La Liga,1,1,1,1
2068,Sergi Cardona,25.0,Left,,,Villarreal,La Liga,1,0,0,1
2069,Sergi Darder,30.0,Right,180.0,67.0,Mallorca,La Liga,1,0,1,0
2070,Sergi Guardiola,,Left,187.0,81.0,Cádiz,La Liga,1,1,1,0
2071,Sergi Roberto,32.0,Right,185.0,69.0,Como,Serie A,1,0,1,1
2072,Sergio Akieme,26.0,Left,175.0,69.0,Reims,Ligue 1,1,0,0,1
2073,Sergio Arribas,22.0,Left,174.0,63.0,Almería,La Liga 2,2,0,1,0
2074,Sergio Camello,23.0,Right,177.0,69.0,Rayo Vallecano,La Liga,1,1,0,0
2075,Sergio Gómez,24.0,Left,170.0,63.0,Real Sociedad,La Liga,1,0,1,1
2076,Sergio Ramos,,Right,183.0,74.0,Sevilla,La Liga,1,0,0,1
2077,Sergio Reguilón,27.0,Left,176.0,63.0,Brentford,Premier League,1,0,1,1
2078,Sergio Ruiz,29.0,Right,171.0,69.0,Granada,La Liga 2,2,0,1,0
2079,Serhou Guirassy,28.0,Right,187.0,83.0,Stuttgart,Bundesliga,1,1,0,0
2080,Shamar Nicholson,27.0,Right,192.0,79.0,Spartak Moscow,Russian Premier League,1,1,0,0
2081,Shandon Baptiste,26.0,Right,180.0,74.0,Luton Town,Championship,2,0,1,0
2082,Sheraldo Becker,29.0,Right,180.0,74.0,Real Sociedad,La Liga,1,1,1,0
2083,Shon Weissman,28.0,Right,174.0,73.0,Granada,La Liga 2,2,1,0,0
2084,Siebe Van Der Heyden,26.0,Right,185.0,78.0,Mallorca,La Liga,1,0,0,1
2085,Silas Katompa,25.0,Right,189.0,78.0,Stuttgart,Bundesliga,1,1,1,1
2086,Silvan Hefti,26.0,Right,182.0,78.0,Hamburger SV,2,2,0,0,1
2087,Silvan Widmer,31.0,Right,182.0,79.0,Mainz 05,Bundesliga,1,0,1,1
2088,Simeon Nwankwo,32.0,Right,198.0,83.0,Salernitana,Serie B,2,1,0,0
2089,Simon Adingra,22.0,Right,175.0,,Brighton,Premier League,1,1,1,0
2090,Simon Elisor,25.0,,186.0,,Metz,Ligue 1,1,1,0,0
2091,Simon Kjær,35.0,Right,190.0,86.0,Milan,Serie A,1,0,0,1
2092,Simon Walde,19.0,,,,Gladbach U19,U19 Bundesliga,6,0,0,1
2093,Simon Zoller,33.0,Right,179.0,69.0,St. Pauli,2,2,1,1,0
2094,Simone Pafundi,18.0,,181.0,73.0,Lausanne-Sport,Super Lg,1,1,0,0
2095,Simone Romagnoli,34.0,Right,193.0,84.0,Sampdoria,Serie B,2,0,0,1
2096,Simone Verdi,32.0,Both,171.0,60.0,Como,Serie A,1,1,1,0
2097,Sinaly Diomande,23.0,Right,184.0,78.0,Auxerre,Ligue 1,1,0,0,1
2098,Siriné Doucouré,22.0,Right,193.0,74.0,Stade Laval,Ligue 2,2,0,0,1
2099,Skelly Alvero,22.0,Right,198.0,84.0,Werder Bremen,Bundesliga,1,0,1,0
2100,Sofiane Alakouch,26.0,Right,175.0,66.0,Paris FC,Ligue 2,2,0,1,1
2101,Sofiane Diop,24.0,Right,165.0,49.0,Nice,Ligue 1,1,1,1,0
2102,Sofyan Amrabat,28.0,Right,173.0,69.0,Fiorentina,Serie A,1,0,1,0
2103,Solly March,30.0,Left,180.0,72.0,Brighton,Premier League,1,1,1,1
2104,Son Heung-min,32.0,Right,183.0,76.0,Tottenham Hotspur,Premier League,1,1,1,0
2105,Sory Kaba,29.0,,191.0,79.0,Elche,La Liga 2,2,1,0,0
2106,Soufiane Bidaoui,,Right,176.0,64.0,Frosinone,Serie B,2,1,1,0
2107,Souleymane Touré,21.0,,206.0,74.0,Lorient,Ligue 1,1,0,0,1
2108,Soungoutou Magassa,20.0,Right,188.0,69.0,Monaco,Ligue 1,1,0,1,0
2109,Srđan Babić,28.0,Left,192.0,84.0,Spartak Moscow,Russian Premier League,1,0,0,1
2110,Stanis Idumbo,19.0,,,,Sevilla,La Liga,1,0,1,0
2111,Stanislav Lobotka,29.0,Right,170.0,72.0,Napoli,Serie A,1,0,1,0
2112,Stanley N'Soki,25.0,Left,187.0,82.0,Hoffenheim,Bundesliga,1,0,0,1
2113,Stefan Bajcetic,19.0,Right,185.0,,Liverpool,Premier League,1,0,1,0
2114,Stefan Bell,33.0,Right,192.0,86.0,Mainz 05,Bundesliga,1,0,0,1
2115,Stefan Lainer,32.0,Right,176.0,69.0,Gladbach,Bundesliga,1,0,1,1
2116,Stefan Lekovic,20.0,,,,Red Star,SuperLiga,1,0,0,1
2117,Stefan Mitrović,34.0,Both,189.0,76.0,Gent,Pro League A,1,0,0,1
2118,Stefan Posch,27.0,Right,187.0,83.0,Bologna,Serie A,1,0,0,1
2119,Stefan Savić,33.0,Right,188.0,82.0,Trabzonspor,Süper Lig,1,0,1,1
2120,Stefan de Vrij,32.0,Right,189.0,78.0,Inter,Serie A,1,0,0,1
2121,Stefano Sabelli,31.0,Right,180.0,73.0,Genoa,Serie A,1,0,1,1
2122,Stefano Sensi,29.0,Right,168.0,62.0,Inter,Serie A,1,0,1,0
2123,Steffen Tigges,26.0,Left,195.0,82.0,Köln,2,2,1,0,0
2124,Stephan El Shaarawy,31.0,Right,178.0,72.0,Roma,Serie A,1,1,1,1
2125,Steve Mounié,29.0,Right,190.0,83.0,Augsburg,Bundesliga,1,1,0,0
2126,Steven Alzate,,Right,180.0,64.0,Standard Liège,Pro League A,1,0,1,0
2127,Stijn Spierings,28.0,Right,187.0,72.0,Brøndby,Danish Superliga,1,0,1,0
2128,Suat Serdar,27.0,Right,183.0,74.0,Hellas Verona,Serie A,1,0,1,0
2129,Suso,30.0,Left,176.0,69.0,Sevilla,La Liga,1,1,1,0
2130,Sven Botman,24.0,Left,195.0,86.0,Newcastle Utd,Premier League,1,0,0,1
2131,Sven Michel,34.0,Left,178.0,74.0,Paderborn 07,2,2,1,1,0
2132,Sydney van Hooijdonk,24.0,,190.0,81.0,Cesena,Serie B,2,1,0,0
2133,Szymon Żurkowski,26.0,Right,185.0,77.0,Empoli,Serie A,1,0,1,0
2134,Sávio,20.0,Left,176.0,71.0,Manchester City,Premier League,1,1,1,0
2135,Séamus Coleman,35.0,Right,177.0,67.0,Everton,Premier League,1,0,1,1
2136,Sébastien Haller,30.0,Right,187.0,86.0,Dortmund,Bundesliga,1,1,0,0
2137,Tadeo Allende,25.0,Right,,,Celta Vigo,La Liga,1,1,1,0
2138,Tahith Chong,24.0,Left,185.0,77.0,Luton Town,Championship,2,1,1,0
2139,Taichi Fukui,20.0,,,,Arouca,Primeira Liga,1,0,1,0
2140,Taiwo Awoniyi,27.0,Right,178.0,73.0,Nott'ham Forest,Premier League,1,1,0,0
2141,Tajon Buchanan,25.0,Right,182.0,68.0,Inter,Serie A,1,1,1,1
2142,Takefusa Kubo,23.0,Left,170.0,63.0,Real Sociedad,La Liga,1,1,1,0
2143,Takehiro Tomiyasu,25.0,Right,185.0,78.0,Arsenal,Premier League,1,0,0,1
2144,Takuma Asano,29.0,Right,171.0,69.0,Mallorca,La Liga,1,1,1,0
2145,Takumi Minamino,29.0,Right,174.0,67.0,Monaco,Ligue 1,1,1,1,0
2146,Tammy Abraham,26.0,Right,190.0,82.0,Milan,Serie A,1,1,0,0
2147,Tanguy Coulibaly,23.0,Left,175.0,72.0,Montpellier,Ligue 1,1,1,1,0
2148,Tanguy Nianzou,22.0,Right,187.0,78.0,Sevilla,La Liga,1,0,0,1
2149,Tariq Lamptey,23.0,Right,175.0,68.0,Brighton,Premier League,1,0,1,1
2150,Tayo Adaramola,20.0,,177.0,68.0,RWD Molenbeek,Pro League A,1,0,0,1
2151,Teddy Teuma,30.0,Left,176.0,72.0,Reims,Ligue 1,1,0,1,0
2152,Teden Mengi,22.0,Right,183.0,81.0,Luton Town,Championship,2,0,0,1
2153,Terem Moffi,25.0,Left,188.0,82.0,Nice,Ligue 1,1,1,0,0
2154,Teun Koopmeiners,26.0,Left,186.0,79.0,Juventus,Serie A,1,0,1,1
2155,Theo Corbeanu,22.0,Right,190.0,79.0,Granada,La Liga 2,2,1,1,0
2156,Theo Hernández,26.0,Left,184.0,78.0,Milan,Serie A,1,0,0,1
2157,Therence Koudou,19.0,,,,Pau FC,Ligue 2,2,0,1,0
2158,Thiago Alcántara,,Right,172.0,59.0,Liverpool,Premier League,1,0,1,0
2159,Thiago Silva,39.0,Right,183.0,78.0,Fluminense,Série A,1,0,0,1
2160,Thibault De Smet,26.0,Left,176.0,64.0,Reims,Ligue 1,1,0,1,1
2161,Thierry Correia,25.0,Right,176.0,72.0,Valencia,La Liga,1,0,0,1
2162,Thilo Kehrer,27.0,Right,186.0,72.0,Monaco,Ligue 1,1,0,0,1
