,Name,age,footed,height,weight,current_club,League,Tier,FW,MF,DF
1182,Julian Weigl,29.0,Right,187.0,71.0,Gladbach,Bundesliga,1,0,1,1
1183,Julien Laporte,30.0,Right,185.0,82.0,Lorient,Ligue 1,1,0,0,1
1184,Julien Le Cardinal,27.0,Right,182.0,73.0,Brest,Ligue 1,1,0,0,1
1185,Julien Ponceau,23.0,Right,170.0,59.0,Lorient,Ligue 2,2,0,1,0
1186,Julio Enciso,20.0,,168.0,63.0,Brighton,Premier League,1,1,1,0
1187,Julián Malatini,23.0,,,,Werder Bremen,Bundesliga,1,0,0,1
1188,Julián Álvarez,24.0,Right,173.0,69.0,Atlético Madrid,La Liga,1,1,1,0
1189,Junior Adamu,23.0,Right,182.0,74.0,Freiburg,Bundesliga,1,1,0,0
1190,Junior Diaz,21.0,,,,Troyes,Ligue 2,2,0,0,1
1191,Junior Dina Ebimbe,23.0,Right,182.0,76.0,Eint Frankfurt,Bundesliga,1,1,1,0
1192,Junior Messias,33.0,Left,174.0,67.0,Genoa,Serie A,1,1,1,0
1193,Junior Mwanga,21.0,Both,184.0,72.0,Strasbourg,Ligue 1,1,0,1,0
1194,Junior Sambia,28.0,Right,181.0,68.0,Salernitana,Serie A,1,0,1,1
1195,Junya Ito,31.0,Right,176.0,68.0,Reims,Ligue 1,1,1,1,0
1196,Jurriën Timber,23.0,Right,179.0,78.0,Arsenal,Premier League,1,0,0,1
1197,Justin Diehl,19.0,,,,Stuttgart,Bundesliga,1,0,1,0
1198,Justin Hubner,20.0,Left,185.0,74.0,Wolverhampton Wanderers,PL2,6,0,0,1
1199,Justin Kluivert,25.0,Right,171.0,68.0,Bournemouth,Premier League,1,1,1,0
1200,Justin Njinmah,23.0,,182.0,74.0,Werder Bremen,Bundesliga,1,1,1,0
1201,Jérémie Bela,31.0,Right,173.0,69.0,Clermont Foot,Ligue 1,1,1,1,1
1202,Jérémy Le Douaron,26.0,Left,189.0,81.0,Brest,Ligue 1,1,1,1,0
1203,Jérôme Boateng,36.0,Right,192.0,89.0,LASK,Bundesliga,1,0,0,1
1204,Jérôme Roussillon,31.0,Left,175.0,79.0,Union Berlin,Bundesliga,1,0,1,1
1205,Jóhann Berg Guðmundsson,33.0,Left,186.0,78.0,Al-Orobah,Saudi Professional League,2,1,1,0
1206,Jørgen Strand Larsen,24.0,Right,193.0,87.0,Wolves,Premier League,1,1,0,0
1207,Kacper Urbanski,20.0,Right,178.0,73.0,Bologna,Serie A,1,0,1,0
1208,Kadan Young,18.0,,,,Aston Villa,PL2,6,0,1,0
1209,Kaden Rodney,19.0,,,,Crystal Palace,PL2,6,0,0,1
1210,Kaelan Casey,19.0,,185.0,,West Ham United,PL2,6,0,0,1
1211,Kai Havertz,25.0,Left,186.0,77.0,Arsenal,Premier League,1,1,1,0
1212,Kaide Gordon,19.0,Left,179.0,63.0,Liverpool,Premier League,1,1,0,0
1213,Kaiky,20.0,Right,186.0,76.0,Almería,La Liga 2,2,0,0,1
1214,Kaine Kesler-Hayden,21.0,Right,175.0,62.0,Preston,Championship,2,0,1,1
1215,Kaio Jorge,22.0,,180.0,63.0,Cruzeiro,Série A,1,1,0,0
1216,Kalvin Phillips,28.0,Right,177.0,68.0,Ipswich Town,Premier League,1,0,1,1
1217,Kamil Jóźwiak,26.0,Right,176.0,69.0,Granada,La Liga 2,2,1,1,0
1218,Kamil Piątkowski,24.0,Right,191.0,79.0,RB Salzburg,Bundesliga,1,0,0,1
1219,Kamory Doumbia,21.0,Right,170.0,53.0,Brest,Ligue 1,1,0,1,0
1220,Kaoru Mitoma,27.0,,178.0,71.0,Brighton,Premier League,1,1,1,0
1221,Karamoko Dembele,21.0,,168.0,55.0,QPR,Championship,2,1,1,0
1222,Karim Adeyemi,22.0,Left,180.0,68.0,Dortmund,Bundesliga,1,1,1,0
1223,Karim Onisiwo,32.0,Right,188.0,76.0,Mainz 05,Bundesliga,1,1,1,0
1224,Karim Zedadka,24.0,Right,180.0,67.0,Ascoli,Serie B,2,0,0,1
1225,Karlo Lulić,28.0,Right,186.0,74.0,Bari,Serie B,2,0,1,0
1226,Karol Fila,26.0,Right,180.0,72.0,Strasbourg,Ligue 1,1,0,0,1
1227,Karol Linetty,29.0,Right,176.0,73.0,Torino,Serie A,1,0,1,0
1228,Karol Świderski,27.0,Left,184.0,73.0,Charlotte,MLS,1,1,1,0
1229,Kasim Nuhu,29.0,Right,190.0,83.0,Hoffenheim,Bundesliga,1,0,0,1
1230,Kassoum Ouattara,19.0,,,,Monaco,Ligue 1,1,0,0,1
1231,Kastriot Dermaku,,Right,195.0,89.0,Lecce,Serie A,1,0,0,1
1232,Keane Lewis-Potter,23.0,Right,181.0,66.0,Brentford,Premier League,1,1,1,0
1233,Keinan Davis,26.0,Both,179.0,68.0,Udinese,Serie A,1,1,0,0
1234,Keito Nakamura,24.0,Right,180.0,68.0,Reims,Ligue 1,1,1,1,0
1235,Ken Izekor,17.0,,,,Leverkusen U19,U19 Bundesliga,6,1,0,0
1236,Kenan Yıldız,19.0,,,,Juventus,Serie A,1,0,1,0
1237,Kenneth Schmidt,22.0,,186.0,78.0,Freiburg,Bundesliga,1,0,0,1
1238,Kenny Lala,32.0,Right,178.0,78.0,Brest,Ligue 1,1,0,1,1
1239,Kenny Tete,28.0,Right,180.0,69.0,Fulham,Premier League,1,0,0,1
1240,Kevin Akpoguma,29.0,Right,192.0,83.0,Hoffenheim,Bundesliga,1,0,0,1
1241,Kevin Behrens,33.0,Right,184.0,83.0,Wolfsburg,Bundesliga,1,1,0,0
1242,Kevin Bonifazi,28.0,Right,187.0,79.0,Frosinone,Serie A,1,0,0,1
1243,Kevin Danso,25.0,Right,190.0,79.0,Lens,Ligue 1,1,0,1,1
1244,Kevin De Bruyne,33.0,Right,181.0,69.0,Manchester City,Premier League,1,1,1,0
1245,Kevin Kampl,33.0,Right,180.0,67.0,RB Leipzig,Bundesliga,1,0,1,0
1246,Kevin Mbabu,29.0,Right,184.0,79.0,Augsburg,Bundesliga,1,0,0,1
1247,Kevin Paredes,21.0,Left,168.0,63.0,Wolfsburg,Bundesliga,1,0,1,0
1248,Kevin Schade,22.0,Right,183.0,72.0,Brentford,Premier League,1,1,1,0
1249,Kevin Sessa,24.0,Right,175.0,69.0,Heidenheim,Bundesliga,1,0,1,0
1250,Kevin Strootman,,Left,186.0,78.0,Genoa,Serie A,1,0,1,0
1251,Kevin Stöger,31.0,Left,175.0,69.0,Gladbach,Bundesliga,1,0,1,0
1252,Kevin Vogt,32.0,Right,194.0,84.0,Union Berlin,Bundesliga,1,0,1,1
1253,Kevin Volland,32.0,Left,179.0,82.0,Union Berlin,Bundesliga,1,1,1,0
